Album Name,Apple ID Number,Apple Music Subscription,Container Album Name,Container Artist Name,Container Type,End Position In Milliseconds,End Reason Type,Event End Timestamp,Event Type,Feature Name,Item Type,Media Duration In Milliseconds,Media Type,Play Duration Milliseconds,Song Name,Source Type
A Night at the Opera,0,TRUE,A Night at the Opera,Queen,ALBUM,354000,NATURAL_END_OF_TRACK,2024-03-18T20:06:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,354000,AUDIO,354000,Bohemian Rhapsody,ORIGINATING_DEVICE
Jazz,0,TRUE,Jazz,Queen,ALBUM,209000,NATURAL_END_OF_TRACK,2024-03-18T20:12:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,209000,AUDIO,209000,Don't Stop Me Now,ORIGINATING_DEVICE
Tell Me I'm Pretty,0,TRUE,Tell Me I'm Pretty,Cage The Elephant,ALBUM,221000,NATURAL_END_OF_TRACK,2024-03-19T08:30:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,221000,AUDIO,221000,Trouble,ORIGINATING_DEVICE
Harry Styles,0,TRUE,Harry Styles,Harry Styles,ALBUM,340000,NATURAL_END_OF_TRACK,2024-03-19T08:35:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,340000,AUDIO,340000,Sign of the Times,ORIGINATING_DEVICE
808s & Heartbreak,0,TRUE,808s & Heartbreak,Kanye West,ALBUM,211000,NATURAL_END_OF_TRACK,2024-03-19T08:42:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,211000,AUDIO,211000,Heartless,ORIGINATING_DEVICE
Graduation,0,TRUE,Graduation,Kanye West,ALBUM,312000,NATURAL_END_OF_TRACK,2024-03-20T07:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,312000,AUDIO,312000,Stronger,ORIGINATING_DEVICE
Fine Line,0,TRUE,Fine Line,Harry Styles,ALBUM,207000,NATURAL_END_OF_TRACK,2024-03-20T07:06:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,207000,AUDIO,207000,Adore You,ORIGINATING_DEVICE
Hot Fuss,0,TRUE,Hot Fuss,The Killers,ALBUM,223000,NATURAL_END_OF_TRACK,2024-03-20T07:10:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,223000,AUDIO,223000,Mr. Brightside,ORIGINATING_DEVICE
Hot Fuss,0,TRUE,Hot Fuss,The Killers,ALBUM,197000,NATURAL_END_OF_TRACK,2024-03-20T07:14:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,197000,AUDIO,197000,Somebody Told Me,ORIGINATING_DEVICE
"(What's the Story) Morning Glory?",0,TRUE,"(What's the Story) Morning Glory?",Oasis,ALBUM,258000,NATURAL_END_OF_TRACK,2024-03-21T19:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,258000,AUDIO,258000,Wonderwall,ORIGINATING_DEVICE
"(What's the Story) Morning Glory?",0,TRUE,"(What's the Story) Morning Glory?",Oasis,ALBUM,450000,NATURAL_END_OF_TRACK,2024-03-21T19:05:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,450000,AUDIO,450000,Champagne Supernova,ORIGINATING_DEVICE
Franz Ferdinand,0,TRUE,Franz Ferdinand,Franz Ferdinand,ALBUM,237000,NATURAL_END_OF_TRACK,2024-03-22T10:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,237000,AUDIO,237000,Take Me Out,ORIGINATING_DEVICE
AM,0,TRUE,AM,Arctic Monkeys,ALBUM,272000,NATURAL_END_OF_TRACK,2024-03-22T10:05:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,272000,AUDIO,272000,Do I Wanna Know?,ORIGINATING_DEVICE
Favourite Worst Nightmare,0,TRUE,Favourite Worst Nightmare,Arctic Monkeys,ALBUM,254000,NATURAL_END_OF_TRACK,2024-03-22T10:10:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,254000,AUDIO,254000,505,ORIGINATING_DEVICE
AM,0,TRUE,AM,Arctic Monkeys,ALBUM,202000,NATURAL_END_OF_TRACK,2024-03-22T10:14:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,202000,AUDIO,202000,R U Mine?,ORIGINATING_DEVICE
AM,0,TRUE,AM,Arctic Monkeys,ALBUM,183000,NATURAL_END_OF_TRACK,2024-03-22T10:18:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,183000,AUDIO,183000,I Wanna Be Yours,ORIGINATING_DEVICE
"Whatever People Say I Am, That's What I'm Not",0,TRUE,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,ALBUM,174000,NATURAL_END_OF_TRACK,2024-03-22T10:21:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,174000,AUDIO,174000,Mardy Bum,ORIGINATING_DEVICE
Toto IV,0,TRUE,Toto IV,Toto,ALBUM,295000,NATURAL_END_OF_TRACK,2024-03-23T15:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,295000,AUDIO,295000,Africa,ORIGINATING_DEVICE
Toto IV,0,TRUE,Toto IV,Toto,ALBUM,330000,NATURAL_END_OF_TRACK,2024-03-23T15:05:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,330000,AUDIO,330000,Rosanna,ORIGINATING_DEVICE
Toto,0,TRUE,Toto,Toto,ALBUM,235000,NATURAL_END_OF_TRACK,2024-03-23T15:10:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,235000,AUDIO,235000,Hold the Line,ORIGINATING_DEVICE
Hunting High and Low,0,TRUE,Hunting High and Low,a-ha,ALBUM,226000,NATURAL_END_OF_TRACK,2024-03-24T11:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,226000,AUDIO,226000,Take On Me,ORIGINATING_DEVICE
Sweet Dreams (Are Made of This),0,TRUE,Sweet Dreams (Are Made of This),Eurythmics,ALBUM,216000,NATURAL_END_OF_TRACK,2024-03-24T11:04:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,216000,AUDIO,216000,Sweet Dreams (Are Made of This),ORIGINATING_DEVICE
Non-Stop Erotic Cabaret,0,TRUE,Non-Stop Erotic Cabaret,Soft Cell,ALBUM,159000,NATURAL_END_OF_TRACK,2024-03-24T11:08:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,159000,AUDIO,159000,Tainted Love,ORIGINATING_DEVICE
Colour by Numbers,0,TRUE,Colour by Numbers,Culture Club,ALBUM,238000,NATURAL_END_OF_TRACK,2024-03-24T11:12:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,238000,AUDIO,238000,Karma Chameleon,ORIGINATING_DEVICE
Nevermind,0,TRUE,Nevermind,Nirvana,ALBUM,301000,NATURAL_END_OF_TRACK,2024-03-25T14:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,301000,AUDIO,301000,Smells Like Teen Spirit,ORIGINATING_DEVICE
Nevermind,0,TRUE,Nevermind,Nirvana,ALBUM,218000,NATURAL_END_OF_TRACK,2024-03-25T14:04:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,218000,AUDIO,218000,Come as You Are,ORIGINATING_DEVICE
Nevermind,0,TRUE,Nevermind,Nirvana,ALBUM,254000,NATURAL_END_OF_TRACK,2024-03-25T14:08:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,254000,AUDIO,254000,In Bloom,ORIGINATING_DEVICE
Nevermind,0,TRUE,Nevermind,Nirvana,ALBUM,256000,NATURAL_END_OF_TRACK,2024-03-25T14:12:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,256000,AUDIO,256000,Lithium,ORIGINATING_DEVICE
Superunknown,0,TRUE,Superunknown,Soundgarden,ALBUM,320000,NATURAL_END_OF_TRACK,2024-03-25T14:18:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,320000,AUDIO,320000,Black Hole Sun,ORIGINATING_DEVICE
Ten,0,TRUE,Ten,Pearl Jam,ALBUM,341000,NATURAL_END_OF_TRACK,2024-03-25T14:23:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,341000,AUDIO,341000,Alive,ORIGINATING_DEVICE
Melophobia,0,TRUE,Melophobia,Cage The Elephant,ALBUM,235000,NATURAL_END_OF_TRACK,2024-03-26T08:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,235000,AUDIO,235000,Cigarette Daydreams,ORIGINATING_DEVICE
Cage the Elephant,0,TRUE,Cage the Elephant,Cage The Elephant,ALBUM,175000,NATURAL_END_OF_TRACK,2024-03-26T08:04:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,175000,AUDIO,175000,Ain't No Rest for the Wicked,ORIGINATING_DEVICE
Melophobia,0,TRUE,Melophobia,Cage The Elephant,ALBUM,256000,NATURAL_END_OF_TRACK,2024-03-26T08:08:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,256000,AUDIO,256000,Come a Little Closer,ORIGINATING_DEVICE
The Animals,0,TRUE,The Animals,The Animals,ALBUM,270000,NATURAL_END_OF_TRACK,2024-03-27T17:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,270000,AUDIO,270000,House of the Rising Sun,ORIGINATING_DEVICE
Aftermath,0,TRUE,Aftermath,The Rolling Stones,ALBUM,202000,NATURAL_END_OF_TRACK,2024-03-27T17:04:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,202000,AUDIO,202000,Paint It Black,ORIGINATING_DEVICE
Let It Bleed,0,TRUE,Let It Bleed,The Rolling Stones,ALBUM,271000,NATURAL_END_OF_TRACK,2024-03-27T17:08:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,271000,AUDIO,271000,Gimme Shelter,ORIGINATING_DEVICE
Beggars Banquet,0,TRUE,Beggars Banquet,The Rolling Stones,ALBUM,378000,NATURAL_END_OF_TRACK,2024-03-27T17:13:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,378000,AUDIO,378000,Sympathy for the Devil,ORIGINATING_DEVICE
Hey Jude,0,TRUE,Hey Jude,The Beatles,ALBUM,429000,NATURAL_END_OF_TRACK,2024-03-28T09:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,429000,AUDIO,429000,Hey Jude,ORIGINATING_DEVICE
Let It Be,0,TRUE,Let It Be,The Beatles,ALBUM,243000,NATURAL_END_OF_TRACK,2024-03-28T09:08:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,243000,AUDIO,243000,Let It Be,ORIGINATING_DEVICE
Abbey Road,0,TRUE,Abbey Road,The Beatles,ALBUM,259000,NATURAL_END_OF_TRACK,2024-03-28T09:12:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,259000,AUDIO,259000,Come Together,ORIGINATING_DEVICE
Abbey Road,0,TRUE,Abbey Road,The Beatles,ALBUM,182000,NATURAL_END_OF_TRACK,2024-03-28T09:16:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,182000,AUDIO,182000,Something,ORIGINATING_DEVICE
Abbey Road,0,TRUE,Abbey Road,The Beatles,ALBUM,185000,NATURAL_END_OF_TRACK,2024-03-28T09:19:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,185000,AUDIO,185000,Here Comes the Sun,ORIGINATING_DEVICE
The Beatles,0,TRUE,The Beatles,The Beatles,ALBUM,285000,NATURAL_END_OF_TRACK,2024-03-28T09:22:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,285000,AUDIO,285000,While My Guitar Gently Weeps,ORIGINATING_DEVICE
Imagine,0,TRUE,Imagine,John Lennon,ALBUM,183000,NATURAL_END_OF_TRACK,2024-03-29T20:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,183000,AUDIO,183000,Imagine,ORIGINATING_DEVICE
Led Zeppelin IV,0,TRUE,Led Zeppelin IV,Led Zeppelin,ALBUM,482000,NATURAL_END_OF_TRACK,2024-03-29T20:04:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,482000,AUDIO,482000,Stairway to Heaven,ORIGINATING_DEVICE
Led Zeppelin IV,0,TRUE,Led Zeppelin IV,Led Zeppelin,ALBUM,296000,NATURAL_END_OF_TRACK,2024-03-29T20:12:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,296000,AUDIO,296000,Black Dog,ORIGINATING_DEVICE
Led Zeppelin II,0,TRUE,Led Zeppelin II,Led Zeppelin,ALBUM,333000,NATURAL_END_OF_TRACK,2024-03-29T20:17:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,333000,AUDIO,333000,Whole Lotta Love,ORIGINATING_DEVICE
Physical Graffiti,0,TRUE,Physical Graffiti,Led Zeppelin,ALBUM,509000,NATURAL_END_OF_TRACK,2024-03-29T20:23:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,509000,AUDIO,509000,Kashmir,ORIGINATING_DEVICE
Hotel California,0,TRUE,Hotel California,Eagles,ALBUM,391000,NATURAL_END_OF_TRACK,2024-03-30T13:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,391000,AUDIO,391000,Hotel California,ORIGINATING_DEVICE
Eagles,0,TRUE,Eagles,Eagles,ALBUM,210000,NATURAL_END_OF_TRACK,2024-03-30T13:07:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,210000,AUDIO,210000,Take It Easy,ORIGINATING_DEVICE
Desperado,0,TRUE,Desperado,Eagles,ALBUM,217000,NATURAL_END_OF_TRACK,2024-03-30T13:11:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,217000,AUDIO,217000,Desperado,ORIGINATING_DEVICE
Full Moon Fever,0,TRUE,Full Moon Fever,Tom Petty,ALBUM,255000,NATURAL_END_OF_TRACK,2024-03-30T13:15:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,255000,AUDIO,255000,Free Fallin',ORIGINATING_DEVICE
Tom Petty and the Heartbreakers,0,TRUE,Tom Petty and the Heartbreakers,Tom Petty,ALBUM,207000,NATURAL_END_OF_TRACK,2024-03-30T13:20:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,207000,AUDIO,207000,American Girl,ORIGINATING_DEVICE
